"...1","Eric Dick
Pittsburgh Riverhounds SC","Charles Ahl
Pittsburgh Riverhounds SC","Perrin Barnes
Pittsburgh Riverhounds SC","Luke Biasi
Pittsburgh Riverhounds SC","Jason Bouregy
Pittsburgh Riverhounds SC","Max Broughton
Pittsburgh Riverhounds SC","Brunallergene Etou
Pittsburgh Riverhounds SC","Jorge Garcia
Pittsburgh Riverhounds SC","Daniel Griffin
Pittsburgh Riverhounds SC","Bertin Jacquesson
Pittsburgh Riverhounds SC","Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC","Aidan O'Toole
Pittsburgh Riverhounds SC","Abdul Illal Osumanu
Pittsburgh Riverhounds SC","Jacob Randolph
Pittsburgh Riverhounds SC","Bradley Sample
Pittsburgh Riverhounds SC","Sean Suber
Pittsburgh Riverhounds SC","Guillaume Vacter
Pittsburgh Riverhounds SC","Jackson Walti
Pittsburgh Riverhounds SC","Augustine Williams
Pittsburgh Riverhounds SC","Roberto Ydrach
Pittsburgh Riverhounds SC"
"Penalties","0.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",1,"0.0"
"Minutes per goal","-",487,1243,"-","-","-","-",204,547.3,563,"-","-","-",364.5,"-","-","-",677,"-",1080,"-",373.8,"-"
"Shots on target","0.0",6,1,"0.0","2.0","0.0","1.0",1,9,4,"0.0","0.0","0.0",11,"0.0","0.0","0.0",2,"2.0",1,"4.0",13,"4.0"
"Shooting accuracy","-",54.5,50,"0.0","66.7","-","50.0",25,42.9,33.3,"-","-","-",73.3,"0.0","-","-",40,"25.0",33.3,"66.7",61.9,"44.4"
"Successful crosses","0.0",5,7,"11.0","0.0","0.0","6.0",0,2,3,"0.0","0.0","0.0",9,"2.0","0.0","0.0",1,"2.0",2,"4.0",1,"3.0"
"Crossing accuracy","-",26.3,26.9,"34.4","0.0","-","18.2",0,20,25,"-","0.0","-",30,"22.2","-","-",14.3,"66.7",28.6,"25.0",7.1,"15.8"
"Assists","0.0",0,0,"2.0","0.0","0.0","2.0",0,1,0,"0.0","0.0","0.0",1,"0.0","0.0","0.0",0,"1.0",0,"0.0",0,"2.0"
"Key Passes","0.0",7,12,"12.0","0.0","0.0","3.0",2,14,4,"3.0","0.0","0.0",31,"3.0","0.0","0.0",6,"7.0",8,"8.0",7,"6.0"
"Penalties won","0.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Offsides","0.0",1,0,"2.0","0.0","0.0","0.0",1,4,4,"0.0","0.0","0.0",2,"1.0","0.0","0.0",0,"0.0",0,"0.0",26,"0.0"
"Tackles won","0.0",4,14,"34.0","2.0","1.0","14.0",2,14,3,"0.0","1.0","0.0",15,"3.0","3.0","0.0",5,"14.0",18,"19.0",9,"17.0"
"Tackles success rate","-",66.7,63.6,"82.9","100.0","100.0","87.5",100,70,60,"-","33.3","-",51.7,"60.0","60.0","-",50,"73.7",78.3,"59.4",52.9,"70.8"
"Clearances","16.0",3,36,"45.0","4.0","15.0","28.0",1,21,2,"1.0","0.0","0.0",5,"7.0","30.0","0.0",13,"122.0",57,"25.0",8,"79.0"
"Blocks","0.0",0,3,"7.0","0.0","1.0","0.0",0,2,0,"0.0","0.0","0.0",0,"1.0","3.0","0.0",0,"5.0",5,"3.0",3,"10.0"
"Interceptions","0.0",4,10,"14.0","2.0","0.0","8.0",0,16,0,"0.0","0.0","0.0",5,"1.0","5.0","0.0",7,"13.0",16,"25.0",2,"19.0"
"Successful passes","178.0",161,260,"531.0","67.0","43.0","184.0",49,426,58,"17.0","1.0","0.0",443,"66.0","227.0","0.0",182,"913.0",422,"629.0",155,"608.0"
"Passing accuracy","49.4",78.2,76.5,"75.2","78.8","67.2","71.9",73.1,76.8,58.6,"56.7","50.0","-",83.4,"78.6","80.2","-",77.8,"82.0",76.7,"80.4",67.1,"73.1"
"Passing accuracy in opponents' half (%)","27.1",62.7,65.9,"66.2","62.1","60.5","59.6",60.8,69.9,57.3,"57.1","0.0","-",68.4,"67.2","64.9","-",67.6,"70.4",63.9,"69.1",57.9,"59.2"
"Successful dribbles","0.0",5,8,"14.0","2.0","1.0","6.0",3,9,6,"0.0","0.0","0.0",12,"4.0","1.0","0.0",4,"6.0",3,"11.0",16,"5.0"
"Fouls won","4.0",14,17,"23.0","3.0","0.0","28.0",3,27,2,"1.0","0.0","0.0",25,"7.0","0.0","0.0",10,"4.0",6,"13.0",28,"16.0"
"Fouls conceded","1.0",5,15,"25.0","3.0","0.0","14.0",8,27,8,"5.0","2.0","0.0",22,"6.0","13.0","0.0",11,"8.0",17,"21.0",40,"19.0"
"Penalties conceded","1.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Yellow cards","0.0",0,2,"8.0","0.0","0.0","1.0",1,5,1,"0.0","0.0","0.0",2,"1.0","1.0","0.0",3,"1.0",2,"3.0",5,"4.0"
"Red cards","0.0",0,0,"1.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
