"...1","Antony Siaha
Hartford Athletic","Sebastian Anderson
Hartford Athletic","Deshane Beckford
Hartford Athletic","John Berner
Hartford Athletic","Samuel Careaga
Hartford Athletic","Justin DiCarlo
Hartford Athletic","Mamadou Dieng
Hartford Athletic","Adrian Diz Pe
Hartford Athletic","Kyle Edwards
Hartford Athletic","Joseph Farrell
Hartford Athletic","Spencer Gordon
Hartford Athletic","Marlon Hairston
Hartford Athletic","Justin Ingram
Hartford Athletic","Jonathan Jimenez
Hartford Athletic","Beverly Makangila
Hartford Athletic","Junior Moreira
Hartford Athletic","Michee Ngalina
Hartford Athletic","Baboucarr Njie
Hartford Athletic","Adewale Obalola
Hartford Athletic","Jack Panayotou
Hartford Athletic","Thomas Presthus
Hartford Athletic","Kauan Ribeiro
Hartford Athletic","Emmanuel Samadia
Hartford Athletic","Jordan Scarlett
Hartford Athletic"
"Tackles success rate","50.0","66.7",77.8,"-",66.7,"-",11,64,7,"101.0","0.0","48.4","50.0",77.8,"73.7",55,62.5,48,92.3,"100.0","57.9","-","63.0","52.9"
"Clearances","6.0","54.0",6,"0.0",1,"0.0",2,8,0,"19.0","0.0","22.0","0.0",6,"19.0",15,6,16,3,"1.0","86.0","0.0","44.0","89.0"
"Blocks","0.0","4.0",1,"0.0",0,"0.0",6,12,4,"12.0","0.0","3.0","0.0",1,"8.0",0,0,1,0,"1.0","6.0","0.0","4.0","12.0"
"Interceptions","0.0","18.0",4,"0.0",6,"0.0",148,300,65,"488.0","0.0","34.0","0.0",9,"11.0",7,4,5,4,"1.0","18.0","0.0","27.0","15.0"
"Successful passes","325.0","489.0",91,"0.0",332,"0.0",66.1,71.9,61.9,"75.9","-","401.0","34.0",154,"281.0",184,180,192,64,"9.0","479.0","0.0","499.0","577.0"
"Passing accuracy","67.3","75.6",75.8,"-",85.1,"-",57.5,48.6,53.8,"51.9","-","85.5","91.9",77,"83.9",79.7,70,75,63.4,"64.3","76.0","-","76.7","77.8"
"Passing accuracy in opponents' half (%)","26.6","59.7",63.6,"-",77.7,"-",14,5,7,"2.0","0.0","76.4","83.3",71.8,"78.4",72.2,62.4,59.1,57.8,"66.7","60.5","-","58.1","59.6"
"Successful dribbles","0.0","13.0",9,"0.0",5,"0.0",33,8,15,"12.0","0.0","3.0","0.0",7,"2.0",6,30,12,5,"0.0","3.0","0.0","32.0","6.0"
"Fouls won","4.0","28.0",9,"0.0",9,"0.0",29,23,15,"11.0","0.0","16.0","1.0",13,"10.0",7,23,17,17,"1.0","11.0","0.0","30.0","20.0"
"Fouls conceded","0.0","34.0",11,"0.0",8,"0.0",0,0,0,"0.0","0.0","20.0","1.0",24,"18.0",8,9,19,24,"0.0","13.0","0.0","23.0","20.0"
"Penalties conceded","0.0","1.0",0,"0.0",0,"0.0",7,2,1,"0.0","0.0","0.0","0.0",0,"0.0",0,0,1,0,"0.0","0.0","0.0","0.0","1.0"
"Yellow cards","6.0","2.0",3,"0.0",1,"0.0",0,1,0,"1.0","0.0","5.0","0.0",1,"4.0",0,0,3,3,"0.0","0.0","0.0","4.0","1.0"
"Red cards","0.0","0.0",0,"0.0",0,"0.0",NA,NA,NA,NA,NA,"0.0","0.0",0,"1.0",0,0,0,1,"0.0","0.0","0.0","1.0","0.0"
