"...1","Alex Tambakis
New Mexico United","Mukwelle Akale
New Mexico United","Thomas Amang
New Mexico United","Zico Bailey
New Mexico United","Daniel Bruce
New Mexico United","Djibril Doumbia
New Mexico United","Jackson DuBois
New Mexico United","Ricks Ford
New Mexico United","Orrin McKinze Gaines II
New Mexico United","Christopher Gloster
New Mexico United","Dayonn Harris
New Mexico United","Anthony Herbert
New Mexico United","Kyle Hofmann
New Mexico United","Greg Hurst
New Mexico United","Ousman Jabang
New Mexico United","Jaylin Lindsey
New Mexico United","Derek Lozano
New Mexico United","Jon-Talen Maples
New Mexico United","Luiz Fernando
New Mexico United","Valentin Noël
New Mexico United","Tomas Pondeca
New Mexico United","Sergio Rivas
New Mexico United","Kalen Ryden
New Mexico United","Jace Sais
New Mexico United","Will Seymore
New Mexico United","Kristopher Shakes
New Mexico United","Marlon Vargas
New Mexico United","Gedion Zelalem
New Mexico United"
"Assists","0.0",5,0,0,"1.0","0.0","0.0","0.0",3,0,"0.0","0.0","0.0",0,0,1,"0.0",0,1,1,"0.0","0.0","0.0","0.0",1,"0.0",2,"0.0"
"Key Passes","1.0",27,5,11,"2.0","0.0","0.0","0.0",3,4,"2.0","1.0","0.0",1,7,8,"0.0",5,12,17,"3.0","8.0","0.0","0.0",7,"0.0",22,"5.0"
"Penalties won","0.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",1,"0.0"
"Offsides","0.0",4,5,0,"4.0","0.0","0.0","0.0",4,2,"0.0","0.0","0.0",1,1,3,"0.0",0,12,0,"0.0","1.0","0.0","0.0",0,"0.0",2,"0.0"
"Tackles won","0.0",11,2,9,"2.0","0.0","0.0","0.0",3,10,"0.0","4.0","0.0",6,11,15,"0.0",13,8,10,"3.0","4.0","6.0","0.0",10,"1.0",7,"7.0"
"Tackles success rate","-",78.6,50,52.9,"50.0","-","-","0.0",75,52.6,"-","80.0","-",100,55,60,"-",72.2,47.1,71.4,"60.0","57.1","85.7","-",55.6,"100.0",63.6,"38.9"
"Clearances","18.0",5,4,9,"0.0","0.0","0.0","0.0",3,29,"0.0","21.0","0.0",1,33,31,"0.0",65,7,17,"4.0","3.0","58.0","0.0",34,"2.0",8,"16.0"
"Blocks","0.0",0,0,1,"0.0","0.0","0.0","0.0",2,1,"0.0","5.0","0.0",0,5,2,"0.0",20,0,2,"0.0","0.0","8.0","0.0",4,"0.0",0,"2.0"
"Interceptions","0.0",2,0,8,"0.0","0.0","0.0","0.0",0,10,"0.0","1.0","0.0",1,10,18,"0.0",11,4,4,"3.0","1.0","10.0","0.0",13,"0.0",4,"11.0"
"Successful passes","461.0",380,44,474,"30.0","0.0","14.0","6.0",87,472,"8.0","137.0","0.0",78,636,688,"0.0",1207,317,508,"58.0","222.0","690.0","1.0",522,"63.0",351,"711.0"
"Passing accuracy","83.2",79.8,81.5,88.9,"88.2","-","93.3","75.0",86.1,88.1,"88.9","84.6","-",81.3,85.3,85.3,"-",91.7,80.7,84.1,"70.7","82.5","90.6","50.0",86,"76.8",77.3,"88.7"
"Passing accuracy in opponents' half (%)","16.7",70.9,75.6,82.7,"77.8","-","88.9","50.0",73.3,75,"69.2","70.8","-",71.2,75.5,74.5,"-",84.8,77.1,74.3,"61.8","77.3","81.9","0.0",79.8,"41.7",66.1,"81.3"
"Successful dribbles","0.0",19,0,8,"2.0","0.0","0.0","0.0",7,6,"1.0","1.0","0.0",4,11,4,"0.0",4,19,17,"7.0","1.0","0.0","0.0",5,"0.0",21,"4.0"
"Fouls won","1.0",24,14,13,"3.0","0.0","0.0","0.0",8,6,"0.0","4.0","0.0",2,25,10,"0.0",9,12,24,"3.0","6.0","12.0","0.0",20,"1.0",12,"8.0"
"Fouls conceded","1.0",17,10,15,"7.0","0.0","0.0","1.0",6,12,"0.0","7.0","0.0",7,21,14,"0.0",16,26,19,"5.0","8.0","10.0","0.0",22,"0.0",6,"24.0"
"Penalties conceded","0.0",1,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","1.0","0.0",0,"0.0",0,"1.0"
"Yellow cards","0.0",2,1,2,"3.0","0.0","0.0","0.0",2,5,"0.0","2.0","0.0",2,6,0,"0.0",3,3,5,"2.0","1.0","2.0","0.0",4,"1.0",4,"7.0"
"Red cards","1.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","1.0","0.0",0,"0.0",0,"0.0"
