"player_id","name","dob","nation","position","dom_foot","team_id","jersey_2025"
6070,"Vacter, Guillaume",NA,"FRA","DF",NA,119,"23.0"
6071,"Osumanu, Illal",1996-08-20,"GHA","DF",NA,119,"28.0"
6072,"Randolph, Jacob",NA,"USA","GK",NA,119,"31.0"
6073,"Wälti, Jackson",1999-12-07,"USA","MF",NA,119,"42.0"
6074,"Martino, Ben",2002-09-13,"USA","GK",NA,119,"67.0"
6075,"Linzoain, Pablo",NA,"USA","FW",NA,119,"70.0"
6076,"Tabakis, Alex",1992-12-08,"GRE","GK",NA,115,"1.0"
6077,"Gloster, Chris",2000-07-28,"USA","DF",NA,115,"3.0"
6078,"Herbert, Anthony",1998-04-18,"TRI","DF",NA,115,"4.0"
6079,"Harris, Dayonn",1997-08-29,"ATG","MF",NA,115,"5.0"
6080,"Zelalem, Gedion",1997-01-26,"USA","MF",NA,115,"6.0"
6081,"Rivas, Sergio",1997-10-03,"MEX","MF",NA,115,"7.0"
6082,"Vargas, Marlon",2001-01-12,"USA","FW",NA,115,"8.0"
6083,"Fernando, Luiz",1997-06-23,"BRA","MF",NA,115,"9.0"
6084,"Gaines, McKinze",1998-03-02,"USA","MF",NA,115,"10.0"
6085,"Akale, Mukwelle",1997-01-18,"USA","MF",NA,115,"11.0"
6086,"Maples, Talen",1998-11-20,"USA","DF",NA,115,"12.0"
6087,"Shakes, Kris",2001-04-27,"USA","GK",NA,115,"13.0"
6088,"Jabang, Ousman",2001-03-29,"USA","MF",NA,115,"15.0"
6089,"Seymore, Will",1992-02-29,"USA","DF",NA,115,"16.0"
6090,"Hurst, Greg",1997-04-08,"SCO","FW",NA,115,"17.0"
6091,"Bailey, Zico",2000-08-27,"PHI","DF",NA,115,"19.0"
6092,"Ryden, Kalen",1991-04-12,"USA","DF",NA,115,"22.0"
6093,"Amang, Thomas",1998-02-09,"CMR","FW",NA,115,"23.0"
6094,"Lindsey, Jaylin",2000-03-27,"USA","DF",NA,115,"24.0"
6095,"Bruce, Daniel",1996-05-13,"ENG","MF",NA,115,"25.0"
6096,"Pondeca, Tomas",2001-10-10,"USA","MF",NA,115,"27.0"
6097,"DuBois, Jackson",NA,"USA","DF",NA,115,"47.0"
6098,"Parker, Ford",1996-08-16,"USA","GK",NA,115,"NA"
6099,"McGuire, Jake",1994-09-03,"USA","GK",NA,114,"1.0"
6100,"Malou, Justin",1998-06-01,"SEN","DF",NA,114,"4.0"
6101,"Craig, Paco",1992-10-19,"ENG","DF",NA,114,"5.0"
6102,"Conway, Evan",1997-11-07,"USA","FW",NA,114,"7.0"
6103,"Dolabella, Pedro",1999-07-29,"BRA","MF",NA,114,"8.0"
6104,"Anderson, Oalex",1995-11-11,"VIN","FW",NA,114,"9.0"
6105,"Servania, Jaden",2001-07-16,"PUR","MF",NA,114,"10.0"
6106,"Burner, Patrick",1996-04-11,"MTQ","DF",NA,114,"11.0"
6107,"Perez, Louis",1997-06-11,"FRA","MF",NA,114,"13.0"
6108,"Mentzingen, Rafa",1996-05-02,"BRA","DF",NA,114,"14.0"
6109,"Maldonado, Mikey",1998-07-02,"USA","MF",NA,114,"15.0"
6110,"da Costa, Rodrigo",1993-12-20,"BRA","MF",NA,114,"16.0"
6111,"Martin, Collin",1994-11-09,"USA","MF",NA,114,"17.0"
6112,"Al-Qaq, Ahmad",NA,"PLE","MF",NA,114,"19.0"
6113,"Donovan, Conor",1996-01-08,"USA","DF",NA,114,"20.0"
6114,"Mulqueen, Trevor",NA,"USA","DF",NA,114,"24.0"
6115,"Fitzgerald, Akira",1987-07-17,"JPN","GK",NA,114,"25.0"
6116,"Luckhurst, Adam",NA,"USA","FW",NA,114,"26.0"
6117,"Washington, Bryce",1998-09-02,"USA","DF",NA,114,"27.0"
6118,"Armstrong, Ezra",1998-12-15,"USA","DF",NA,114,"42.0"
6119,"Somersall, Raheem",1997-07-05,"SKN","MF",NA,114,"44.0"
6120,"Hodge, Triston",1994-10-09,"TRI","DF",NA,114,"55.0"
6121,"Al-Qaq, Ali",NA,"PLE","FW",NA,114,"NA"
6122,"Sundstrom, Finn",2006-11-19,"USA","DEF",NA,114,"66.0"
6123,"Sánchez, Richard",1994-04-05,"MEX","GK",NA,122,"1.0"
6124,"Taintor, Mitchell",1994-09-11,"USA","DF",NA,122,"3.0"
6125,"Blanco, Nelson",1999-08-17,"SLV","DF",NA,122,"4.0"
6126,"Souahy, Alexis",1995-01-13,"COM","DF",NA,122,"5.0"
6127,"Omar, Mohamed",1999-01-22,"SOM","MF",NA,122,"6.0"
6128,"Haakenson, Luke",1997-09-10,"USA","MF",NA,122,"7.0"
6129,"Hernandez, Nicky",1998-09-21,"USA","MF",NA,122,"8.0"
6130,"LaCava, Jake",2001-01-21,"USA","FW",NA,122,"9.0"
6131,"Hernández, Jorge",2000-11-08,"MEX","MF",NA,122,"10.0"
6132,"Greive, Alex",1999-05-13,"NZL","FW",NA,122,"11.0"
6133,"Namani, Daniel",NA,"USA","GK",NA,122,"13.0"
6134,"Berrón, Lucio",NA,"ARG","MF",NA,122,"14.0"
6135,"Agudelo, Juan",1992-11-23,"USA","FW",NA,122,"17.0"
6136,"Soto, Almir",1994-07-17,"COL","MF",NA,122,"18.0"
6137,"Crognale, Alex",1994-08-27,"USA","DF",NA,122,"21.0"
6138,"Gomez, Shannon",1996-10-05,"TRI","DF",NA,122,"22.0"
6139,"Buckmaster, Rece",1996-07-07,"USA","DF",NA,122,"23.0"
6140,"Paredes, Luis Andrés",NA,"COL","FW",NA,122,"32.0"
6141,"Osorio, Juan Sebastian",NA,"USA","MF",NA,122,"34.0"
6142,"Gongora, Brandon",NA,"USA","GK",NA,122,"50.0"
6143,"Seiterle, Sebastian",NA,"USA","DF",NA,122,"51.0"
6144,"Erofeev, Dmitriy",NA,"RUS","MF",NA,122,"55.0"
6145,"Batrouni, Joey",NA,"USA","GK",NA,122,"60.0"
6146,"Pacheco, Diogo",1998-09-13,"POR","FW",NA,122,"70.0"
6147,"Medranda, Jimmy",1994-02-07,"COL","DF",NA,122,"94.0"
6148,"Mora-Mora, Sebastián",1998-04-14,"USA","GK",NA,105,"1.0"
6149,"Ackwei, Wahab",1996-10-19,"GHA","DF",NA,105,"3.0"
6150,"Alfaro, Tony",1993-06-15,"MEX","DF",NA,105,"5.0"
6151,"Calvillo, Eric",1998-01-02,"SLV","MF",NA,105,"6.0"
6152,"Romero, Bryan",NA,"USA","DF",NA,105,"7.0"
6153,"Daroma, Frank",2001-04-12,"SLE","MF",NA,105,"8.0"
6154,"López, Frank",1995-02-25,"CUB","FW",NA,105,"9.0"
6155,"Moreno, Amando",1995-09-10,"SLV","FW",NA,105,"10.0"
6156,"Moshobane, Tumi",1994-09-17,"RSA","FW",NA,105,"11.0"
6157,"Ruiz, Ricky",1996-11-04,"USA","MF",NA,105,"12.0"
6158,"Cabrera, Andy",2000-07-29,"COL","FW",NA,105,"13.0"
6159,"Avila, Beto",2000-10-16,"USA","FW",NA,105,"14.0"
6160,"Dollenmayer, Noah",1999-10-26,"DOM","DF",NA,105,"15.0"
6161,"Torres, Gabi",1996-01-06,"BRA","DF",NA,105,"16.0"
6162,"Quezada, Alvaro",1999-03-04,"USA","DF",NA,105,"18.0"
6163,"Canales, Marco",NA,"USA","GK",NA,105,"19.0"
6164,"Carter, Daniel",NA,"HON","FW",NA,105,"20.0"
6165,"Twumasi, Kofi",1996-08-30,"GHA","MF",NA,105,"21.0"
6166,"Waite, Jahmali",1998-12-24,"JAM","GK",NA,105,"23.0"
6167,"Diaz, Memo",1995-10-16,"USA","MF",NA,105,"24.0"
6168,"Ortiz, Arturo",1992-08-25,"MEX","DF",NA,105,"25.0"
6169,"Mora, Omar",NA,"USA","FW",NA,105,"28.0"
6170,"Hoban, Kenneth",NA,"USA","DF",NA,105,"29.0"
6171,"Coronado, Robert",1996-08-03,"USA","MF",NA,105,"30.0"
6172,"Rodríguez, Emiliano",NA,"MEX","FW",NA,105,"31.0"
6173,"Valdivia, Axel",NA,"USA","FW",NA,105,"50.0"
6174,"Vazquez, Raul",NA,"USA","FW",NA,105,"66.0"
6175,"Herrera, Christian",1997-04-20,"MEX","GK",NA,102,"1.0"
6176,"O'Connor-Ward, Akeem",1996-01-05,"USA","DF",NA,102,"3.0"
6177,"Clegg, Tyler",NA,"USA","DF",NA,102,"4.0"
6178,"Mahoney, Matt",1995-04-17,"USA","DF",NA,102,"5.0"
6179,"Real, Matt",1999-07-10,"USA","DF",NA,102,"6.0"
6180,"Fjeldberg, Jonas",1998-09-30,"NOR","FW",NA,102,"7.0"
6181,"Johnson, Levonte",1999-03-15,"CAN","FW",NA,102,"9.0"
6182,"Zandi, Zach",1996-07-18,"USA","MF",NA,102,"10.0"
6183,"Huerman, Quenzi",2001-07-21,"FRA","FW",NA,102,"11.0"
6184,"Echevarria, Stevie",1996-04-09,"PUR","MF",NA,102,"13.0"
6185,"Lacroix, Duke",1993-10-14,"HAI","DF",NA,102,"14.0"
6186,"Endeley, Herbert",2001-10-09,"USA","FW",NA,102,"17.0"
6187,"Rocha, Aidan",2000-12-25,"USA","MF",NA,102,"18.0"
6188,"Rios, Marco",NA,"USA","MF",NA,102,"19.0"
6189,"Hanya, Yosuke",1999-01-30,"JPN","FW",NA,102,"20.0"
6190,"Fontana, Anthony",1999-10-14,"USA","MF",NA,102,"21.0"
6191,"Micaletto, Marco",1996-01-19,"ITA","MF",NA,102,"22.0"
6192,"Metusala, Garven",1999-12-31,"HAI","DF",NA,102,"23.0"
6193,"Romero, Abraham",1998-02-18,"MEX","GK",NA,102,"24.0"
6194,"Weston, Henry",NA,"USA","MF",NA,102,"25.0"
6195,"Tejada, Juan",1997-01-14,"PAN","FW",NA,102,"27.0"
6196,"Burke, Jonathan",NA,"USA","GK",NA,102,"32.0"
6197,"Foster, Isaiah",2003-08-12,"USA","DF",NA,102,"33.0"
6198,"Adams, Charlie",1994-05-16,"ENG","MF",NA,102,"34.0"
6199,"Dhillon, Justin",1995-06-06,"USA","FW",NA,102,"77.0"
6200,"Williams, Rhys",1995-08-09,"USA","DF",NA,103,"2.0"
6201,"Villanueva, Alex",2002-07-09,"USA","DF",NA,103,"3.0"
6202,"Wiedt, Shane",1995-07-19,"USA","DF",NA,103,"4.0"
6203,"Carroll, Stephen",1993-11-30,"IRL","DF",NA,103,"5.0"
6204,"Chapman, Jay",1994-01-01,"CAN","MF",NA,103,"6.0"
6205,"Smith, Darren",1996-03-26,"RSA","FW",NA,103,"7.0"
6206,"Diop, Abdoulaye",1999-09-17,"SEN","MF",NA,103,"8.0"
6207,"Morris, Ben",1999-07-06,"ENG","FW",NA,103,"9.0"
6208,"Cedeño, Jeciel",2000-04-03,"ECU","FW",NA,103,"10.0"
6209,"Rutz, Connor",1997-04-09,"USA","FW",NA,103,"11.0"
6210,"Bryant, Michael",1995-04-02,"USA","MF",NA,103,"12.0"
6211,"Sheldon, Matt",1992-08-23,"USA","DF",NA,103,"13.0"
6212,"Yamazaki, Haruki",NA,"JPN","MF",NA,103,"14.0"
6213,"Mkuruva, Tatenda",1996-01-04,"ZIM","GK",NA,103,"16.0"
6214,"Herrera, Carlos",1997-09-12,"MEX","GK",NA,103,"21.0"
6215,"Guenzatti, Sebastián",1991-07-08,"URU","MF",NA,103,"23.0"
6216,"Gasso, Dominic",2003-08-18,"USA","MF",NA,103,"24.0"
6217,"Amoo-Mensah, Devon",1995-11-27,"USA","DF",NA,103,"30.0"
6218,"Diouf, Ates",2000-03-24,"SEN","FW",NA,103,"32.0"
6219,"Williams, Ryan",1991-04-08,"ENG","MF",NA,103,"39.0"
6220,"Polisi, Marcello",1997-01-24,"CAN","MF",NA,103,"45.0"
6221,"Saldaña, Carlos",1996-10-27,"MEX","GK",NA,103,"91.0"
6222,"Adebayo-Smith, Jordan",2001-01-11,"USA","FW",NA,103,"99.0"
6223,"Creek, Michael",NA,"USA","GK",NA,104,"1.0"
6224,"Damm, Owen",2003-08-22,"USA","DF",NA,104,"2.0"
6225,"Pierre, Delentz",2000-11-16,"HAI","DF",NA,104,"4.0"
6226,"Cerato, Marcos",1994-02-08,"BRA","MF",NA,104,"5.0"
6227,"Diallo, Boubacar",2002-12-09,"USA","MF",NA,104,"6.0"
6228,"Booth, Andrew",1997-07-16,"JAM","MF",NA,104,"7.0"
6229,"Webber, Jamie",1998-01-21,"RSA","MF",NA,104,"8.0"
6230,"Calheira, Taylor",2002-04-26,"USA","FW",NA,104,"9.0"
6231,"ElMedkhar, Kalil",1999-08-18,"USA","FW",NA,104,"10.0"
6232,"Stauffer, Lucas",1995-04-21,"USA","DF",NA,104,"12.0"
6233,"Rogers, Arthur",1996-09-26,"ENG","DF",NA,104,"14.0"
6234,"Batista, Lamar",1998-03-07,"USA","DF",NA,104,"15.0"
6235,"Seagrist, Patrick",1998-02-21,"USA","DF",NA,104,"20.0"
6236,"Dalou, Alex",NA,"USA","FW",NA,104,"21.0"
6237,"Lukic, Stefan",1996-06-01,"SRB","MF",NA,104,"22.0"
6238,"Colli, Giordano",2000-03-12,"AUS","MF",NA,104,"26.0"
6239,"Berner, John",1991-02-14,"USA","GK",NA,104,"30.0"
6240,"Toure, Al Hassan",2000-05-20,"AUS","FW",NA,104,"35.0"
6241,"Goldthorp, Eliot",2001-11-03,"ENG","MF",NA,104,"37.0"
6242,"Johnson, Cole",NA,"USA","GK",NA,104,"39.0"
6243,"St. Clair, Harvey",1998-11-13,"SCO","DF",NA,104,"47.0"
6244,"Bettache, Faysal",2000-07-07,"ENG","MF",NA,104,"77.0"
6245,"Cissoko, AB",1999-12-27,"FRA","DF",NA,104,"91.0"
6246,"Peñaranda, Johan",2000-01-03,"USA","GK",NA,104,"99.0"
6247,"Anderson, Sebastian",2002-08-08,"USA","DF",NA,106,"2.0"
6248,"Scarlett, Jordan",1995-07-08,"JAM","DF",NA,106,"4.0"
6249,"Makangila, Beverly",2000-04-11,"COD","MF",NA,106,"6.0"
6250,"Beckford, Deshane",1998-04-14,"JAM","FW",NA,106,"7.0"
6251,"Moreira, Junior",NA,"GNB","MF",NA,106,"8.0"
6252,"Dieng, Mamadou",2004-02-04,"SEN","FW",NA,106,"9.0"
6253,"Careaga, Samuel",2002-06-09,"ARG","MF",NA,106,"10.0"
6254,"Ngalina, Michee",2000-04-06,"COD","FW",NA,106,"11.0"
6255,"Farrell, Joe",1994-02-13,"USA","DF",NA,106,"15.0"
6256,"Panayotou, Jack",2004-06-05,"USA","MF",NA,106,"16.0"
6257,"Jiménez, Jonathan",2001-04-25,"MEX","FW",NA,106,"17.0"
6258,"Gordon, Spencer",NA,"USA","MF",NA,106,"18.0"
6259,"Samadia, Emmanuel",2001-04-19,"SLE","MF",NA,106,"19.0"
6260,"Presthus, TJ",NA,"USA","DF",NA,106,"22.0"
6261,"Ribeiro, Kauan",NA,"USA","FW",NA,106,"28.0"
6262,"Diz, Adrián",1994-03-04,"CUB","DF",NA,106,"30.0"
6263,"DiCarlo, Justin",NA,"USA","GK",NA,106,"44.0"
6264,"Edwards, Kyle",1997-03-15,"VIN","FW",NA,106,"71.0"
6265,"Siaha, Antony",1998-04-27,"CMR","GK",NA,106,"77.0"
6266,"Obalola, Adewale",NA,"NGA","FW",NA,106,"81.0"
6267,"Hairston, Marlon",1994-03-23,"USA","MF",NA,106,"94.0"
6268,"Sulte, Hunter",2002-04-25,"USA","GK",NA,107,"0.0"
6269,"O'Brien, Josh",2003-02-07,"IRL","DF",NA,107,"2.0"
6270,"Hogan, Patrick",1997-09-17,"USA","DF",NA,107,"3.0"
6271,"McRobb, Finn",NA,"SCO","DF",NA,107,"4.0"
6272,"Murphy, James",1997-09-17,"USA","MF",NA,107,"5.0"
6273,"Lindley, Cameron",1997-07-18,"USA","MF",NA,107,"6.0"
6274,"Blake, Jack",1994-09-22,"SCO","MF",NA,107,"8.0"
6275,"Williams, Romario",1994-08-15,"JAM","FW",NA,107,"9.0"
6276,"Quinn, Aodhan",1992-03-22,"USA","MF",NA,107,"14.0"
6277,"Stanley, Aedan",1999-12-13,"USA","DF",NA,107,"16.0"
6278,"Neidlinger, Logan",2005-09-06,"USA","MF",NA,107,"17.0"
6279,"Collier, Elliot",1995-02-22,"NZL","FW",NA,107,"18.0"
6280,"Kizza, Edward",1998-12-17,"UGA","FW",NA,107,"19.0"
6281,"Brynéus, Oliver",NA,"SWE","MF",NA,107,"21.0"
6282,"Amoh, Elvis",1992-02-02,"GHA","FW",NA,107,"22.0"
6283,"Charles-Cook, Reice",1994-04-08,"GRN","GK",NA,107,"23.0"
6284,"Rendón, Bruno",2000-05-07,"CUB","DF",NA,107,"27.0"
6285,"Ofeimu, Ben",2000-09-30,"USA","DF",NA,107,"30.0"
6286,"Soumaoro, Brem",1996-08-08,"LBR","MF",NA,107,"32.0"
6287,"White, Hayden",1995-04-15,"ENG","DF",NA,107,"33.0"
6288,"Musa, James",1992-04-01,"NZL","DF",NA,107,"41.0"
6289,"Hunsucker, Ryan",NA,"USA","GK",NA,107,"44.0"
6290,"McCoy, Maverick",NA,"USA","DF",NA,107,"55.0"
6291,"Foster, Maalique",1996-11-05,"JAM","FW",NA,107,"99.0"
6292,"Ammeter, Nicholas",2000-12-11,"SUI","GK",NA,108,"1.0"
6293,"Jones, Nate",2001-08-23,"USA","DF",NA,108,"3.0"
6294,"Gärtig, Elias",NA,"DEN","DF",NA,108,"5.0"
6295,"Pearson, Christopher",2003-01-21,"JAM","MF",NA,108,"6.0"
6296,"Gyau, Joe",1992-09-16,"USA","FW",NA,108,"7.0"
6297,"Gannon, Coleman",NA,"USA","FW",NA,108,"8.0"
6298,"Pickering, Nighte",2005-01-26,"USA","FW",NA,108,"9.0"
6299,"Azcona, Edison",2003-11-21,"DOM","MF",NA,108,"10.0"
6300,"Pinzón, Christian",1998-06-24,"USA","FW",NA,108,"11.0"
6301,"Humphrey, Turner",NA,"USA","DF",NA,108,"13.0"
6302,"Rodriguez, Johnny",1998-06-13,"USA","FW",NA,108,"14.0"
6303,"Chattha, Ashish",2000-01-06,"USA","MF",NA,108,"15.0"
6304,"Leal, Patrick",2003-02-21,"USA","MF",NA,108,"17.0"
6305,"Singer, Jack",NA,"USA","DF",NA,108,"18.0"
6306,"Smart, Shawn",2004-02-24,"USA","DF",NA,108,"20.0"
6307,"Boudadi, Younes",1996-01-23,"MAR","DF",NA,108,"23.0"
6308,"Howell, Maliek",1999-01-27,"JAM","DF",NA,108,"24.0"
6309,"Noël, Valentin",1999-04-27,"FRA","MF",NA,108,"27.0"
6310,"Brewer Jr., Shaft",1999-10-28,"USA","DF",NA,108,"28.0"
6311,"Stojanovic, Stefan",2001-03-03,"USA","FW",NA,108,"30.0"
6312,"Nigro, Gennaro",2000-05-29,"USA","DF",NA,108,"33.0"
6313,"O'Driscoll, Rory",2000-02-16,"USA","MF",NA,108,"34.0"
6314,"Covil, Vaughn",2003-07-26,"USA","MF",NA,108,"41.0"
6315,"Peeters, Daouda",1999-01-26,"BEL","MF",NA,108,"42.0"
6316,"Arozarena, Raiko",1997-03-27,"CUB","GK",NA,108,"56.0"
6317,"Samaké, Gaoussou",1997-11-04,"CIV","DF",NA,108,"72.0"
6318,"Miller, Carver",NA,"USA","GK",NA,108,"96.0"
6319,"Ketterer, Logan",1993-11-09,"USA","GK",NA,109,"1.0"
6320,"Djeffal, Sofiane",1999-04-19,"FRA","MF",NA,109,"3.0"
6321,"Burks, Kendall",1999-10-08,"USA","DF",NA,109,"5.0"
6322,"Hafferty, Joe",1998-03-21,"USA","DF",NA,109,"6.0"
6323,"Borczak, Dylan",1999-06-13,"USA","FW",NA,109,"7.0"
6324,"Firmino, Nick",2001-01-30,"BRA","MF",NA,109,"8.0"
6325,"Yankam, Yannick",1997-12-12,"MLT","MF",NA,109,"10.0"
6326,"Epps, Marcus",1995-01-16,"USA","MF",NA,109,"11.0"
6327,"Zengue, Xavier",NA,"USA","DF",NA,109,"12.0"
6328,"Barbir, Danny",1998-01-31,"USA","DF",NA,109,"14.0"
6329,"Wu, Daniel",2000-11-02,"USA","DF",NA,109,"15.0"
6330,"Cáceres, Edrey",NA,"SLV","MF",NA,109,"16.0"
6331,"Yosef, Milo",1998-09-11,"GER","FW",NA,109,"20.0"
6332,"Greene, Jacob",2003-03-23,"USA","DF",NA,109,"22.0"
6333,"Midence, Alfredo",NA,"HON","MF",NA,109,"23.0"
6334,"Sargeant, Kieran",NA,"USA","DF",NA,109,"24.0"
6335,"Gibert, Gaël",NA,"FRA","DF",NA,109,"27.0"
6336,"Thompson, Brooks",2002-05-28,"USA","GK",NA,109,"31.0"
6337,"Ajago, Forster",2001-08-16,"GHA","FW",NA,109,"33.0"
6338,"Adedokun, Michael",2001-05-27,"NGA","MF",NA,109,"71.0"
6339,"Rodrigues, Braudilio",NA,"GNB","MF",NA,109,"72.0"
6340,"Williams, Speedy",1992-04-08,"JAM","MF",NA,109,"80.0"
6341,"Mbongue, Hugo",2004-07-27,"CAN","FW",NA,109,"83.0"
6342,"Burke, Cory",1991-12-28,"JAM","FW",NA,109,"99.0"
6343,"Tingey, Keegan",2000-08-17,"USA","DF",NA,110,"3.0"
6344,"McCabe, Tommy",1998-04-04,"USA","MF",NA,110,"4.0"
6345,"Leerman, Yanis",NA,"FRA","DF",NA,110,"5.0"
6346,"Awuah, Kwame",1995-12-02,"CAN","DF",NA,110,"6.0"
6347,"Leggett, Wesley",2001-03-16,"USA","FW",NA,110,"7.0"
6348,"Nyeman, Moses",2003-11-05,"USA","MF",NA,110,"8.0"
6349,"Valot, Florian",1993-02-12,"FRA","MF",NA,110,"10.0"
6350,"Aboukoura, Abdellatif",2004-10-16,"EGY","FW",NA,110,"11.0"
6351,"Skundrich, Drew",1995-09-17,"USA","MF",NA,110,"12.0"
6352,"Nagy, Alex",NA,"USA","MF",NA,110,"13.0"
6353,"Ryan, Zach",1999-01-14,"USA","FW",NA,110,"14.0"
6354,"Bidois, Riley",2002-03-12,"NZL","FW",NA,110,"15.0"
6355,"Turner, Cole",2001-07-07,"USA","DF",NA,110,"16.0"
6356,"Santos, Pedro",1988-04-22,"POR","MF",NA,110,"17.0"
6357,"Dagnachew, Surafel",1997-09-11,"ETH","MF",NA,110,"19.0"
6358,"Mines, Ben",2000-05-13,"USA","MF",NA,110,"20.0"
6359,"Garay, Jeremy",2003-04-01,"SLV","MF",NA,110,"21.0"
